MD,Incl,Azi,TVD,NS,EW,VS,DLS,Build,Turn
145.9,0.0,0.0,145.9,4.65,-0.93,0.0,0.0,0.0,0.0
150.0,0.09,227.76,150.0,4.65,-0.93,0.0,0.659,0.659,0.0
160.0,0.2,225.57,160.0,4.63,-0.95,-0.03,0.33,0.33,-6.57
170.0,0.19,227.59,170.0,4.61,-0.97,-0.06,0.036,-0.03,6.06
180.0,0.23,231.32,180.0,4.58,-1.0,-0.09,0.127,0.12,11.19
190.0,0.23,233.02,190.0,4.56,-1.03,-0.13,0.02,0.0,5.1
200.0,0.22,235.12,200.0,4.54,-1.06,-0.16,0.039,-0.03,6.3
202.0,0.22,235.0,202.0,4.53,-1.07,-0.17,0.06,0.06,-1.832
210.0,0.24,234.55,210.0,4.51,-1.1,-0.19,0.06,0.06,-1.679
220.0,0.34,239.76,220.0,4.49,-1.14,-0.23,0.31,0.3,15.63
230.0,0.42,244.41,230.0,4.46,-1.2,-0.29,0.257,0.24,13.95
240.0,0.57,252.51,240.0,4.42,-1.28,-0.35,0.495,0.45,24.3
250.0,0.92,274.57,250.0,4.42,-1.41,-0.4,1.339,1.05,66.18
260.0,1.13,286.19,260.0,4.45,-1.58,-0.44,0.883,0.63,34.86
270.0,1.16,287.83,269.99,4.51,-1.77,-0.46,0.133,0.09,4.92
280.0,1.2,290.33,279.99,4.58,-1.97,-0.48,0.196,0.12,7.5
290.0,1.24,293.03,289.99,4.65,-2.16,-0.48,0.21,0.12,8.1
300.0,1.2,293.2,299.99,4.74,-2.36,-0.48,0.12,-0.12,0.51
310.0,1.19,294.42,309.99,4.82,-2.55,-0.48,0.082,-0.03,3.66
320.0,1.15,292.81,319.98,4.9,-2.74,-0.48,0.155,-0.12,-4.83
330.0,1.12,290.98,329.98,4.98,-2.92,-0.48,0.141,-0.09,-5.49
340.0,1.1,290.84,339.98,5.05,-3.1,-0.49,0.061,-0.06,-0.42
350.0,1.08,288.68,349.98,5.11,-3.28,-0.5,0.137,-0.06,-6.48
360.0,1.07,287.43,359.98,5.17,-3.46,-0.51,0.076,-0.03,-3.75
370.0,1.1,286.47,369.97,5.22,-3.64,-0.53,0.105,0.09,-2.88
380.0,1.19,289.32,379.97,5.29,-3.83,-0.55,0.319,0.27,8.55
390.0,1.33,294.68,389.97,5.37,-4.03,-0.55,0.549,0.42,16.08
400.0,1.73,303.22,399.97,5.5,-4.27,-0.52,1.378,1.2,25.62
410.0,1.86,305.68,409.96,5.68,-4.52,-0.46,0.453,0.39,7.38
420.0,1.89,306.23,419.96,5.87,-4.79,-0.39,0.105,0.09,1.65
430.0,1.96,306.14,429.95,6.07,-5.06,-0.31,0.21,0.21,-0.27
440.0,1.99,306.93,439.94,6.27,-5.34,-0.23,0.122,0.09,2.37
450.0,2.01,307.01,449.94,6.48,-5.62,-0.15,0.061,0.06,0.24
460.0,1.99,307.09,459.93,6.69,-5.89,-0.06,0.061,-0.06,0.24
470.0,2.03,307.66,469.93,6.91,-6.17,0.02,0.134,0.12,1.71
480.0,2.06,308.33,479.92,7.13,-6.45,0.12,0.115,0.09,2.01
490.0,2.05,307.74,489.91,7.35,-6.74,0.21,0.07,-0.03,-1.77
500.0,2.1,310.18,499.91,7.57,-7.02,0.31,0.305,0.15,7.32
510.0,2.11,309.44,509.9,7.81,-7.3,0.41,0.087,0.03,-2.22
520.0,2.12,308.88,519.89,8.04,-7.59,0.52,0.069,0.03,-1.68
530.0,2.09,308.61,529.89,8.27,-7.87,0.62,0.095,-0.09,-0.81
540.0,2.13,310.13,539.88,8.51,-8.16,0.72,0.206,0.12,4.56
550.0,2.13,309.28,549.87,8.74,-8.44,0.83,0.095,0.0,-2.55
560.0,2.12,309.17,559.87,8.98,-8.73,0.93,0.032,-0.03,-0.33
570.0,2.13,309.03,569.86,9.21,-9.02,1.03,0.034,0.03,-0.42
580.0,2.16,309.02,579.85,9.45,-9.31,1.14,0.09,0.09,-0.03
590.0,2.14,309.85,589.85,9.69,-9.6,1.24,0.111,-0.06,2.49
